B-SZZ,AG-SZZ,L-SZZ,R-SZZ,MA-SZZ,
1.00,0.89,0.61,0.76,0.86,
0.89,1.00,0.69,0.85,0.97,
0.61,0.69,1.00,0.73,0.71,
0.76,0.85,0.73,1.00,0.88,
0.86,0.97,0.71,0.88,1.00,
