model,recall,precision,fmeasure,correct (TP+FN),identified (TP+FP)
B-SZZ,0.44,0.19,0.27,535,1217
AG-SZZ,0.40,0.19,0.25,535,1137
L-SZZ,0.27,0.31,0.29,535,481
R-SZZ,0.34,0.37,0.35,535,492
MA-SZZ,0.39,0.17,0.23,535,1240
