model,overlap,unique,tp,all
B-SZZ,0.11,25,236,238
AG-SZZ,0.0,0,213,238
L-SZZ,0.0,0,147,238
R-SZZ,0.0,0,182,238
MA-SZZ,0.0,0,206,238
