model,recall,precision,fmeasure,correct (TP+FN),identified (TP+FP)
B-SZZ,0.41,0.21,0.28,535,1057
AG-SZZ,0.38,0.20,0.26,535,1017
L-SZZ,0.27,0.32,0.29,535,446
R-SZZ,0.33,0.38,0.35,535,455
MA-SZZ,0.36,0.18,0.24,535,1097
