B-SZZ,AG-SZZ,L-SZZ,R-SZZ,MA-SZZ,
1.00,0.88,0.59,0.75,0.85,
0.88,1.00,0.68,0.85,0.96,
0.59,0.68,1.00,0.72,0.70,
0.75,0.85,0.72,1.00,0.89,
0.85,0.96,0.70,0.89,1.00,
