B-SZZ,AG-SZZ,L-SZZ,R-SZZ,MA-SZZ,
1.00,0.89,0.61,0.76,0.66,
0.89,1.00,0.69,0.85,0.75,
0.61,0.69,1.00,0.73,0.58,
0.76,0.85,0.73,1.00,0.70,
0.66,0.75,0.58,0.70,1.00,
