model,recall,precision,fmeasure,correct (TP+FN),identified (TP+FP)
B-SZZ,0.44,0.19,0.27,535,1228
AG-SZZ,0.40,0.19,0.25,535,1148
L-SZZ,0.27,0.31,0.29,535,481
R-SZZ,0.34,0.37,0.35,535,493
MA-SZZ,0.30,0.16,0.20,535,1027
